Card Name,Card Link,ÁTE tájékoztatás,EREN-re vihető,Veszély típusa 3.,Veszély típusa 2.,Veszély típusa,Veszély jellemzése,Keywords,2. SZŰRÉS,Tájékoztató kész,"Dokumentum, publikáció az üggyel kapcsolatban 2.",Információforrás megnevezése/affiliációja,Információ elsődleges forrása,"Dokumentum, publikáció az üggyel kapcsolatban",Intézkedés megtörtént,További intézkedések,2. SZŰRÉS Kockázatkezelési lehetőség ismert?,2. SZŰRÉS Súlyosság,2. SZŰRÉS Mérték,2. SZŰRÉS Időbeli közelség,2. SZŰRÉS Megalapozottság,2. SZŰRÉS összpontszáma,1. SZŰRÉS,2. SZŰRÉS EREDMÉNYE,1. SZŰRÉS eredménye,Előszűrés,Titkos ügykezelést igényel,Esemény típusa,Újraértékelés rendszeressége,"Dokumentum, publikáció az üggyel kapcsolatban 3.",Milyen driver hat rá?,Driver hatás,1. SZŰRÉS indoklása,Esemény (kockázat megjelenésének) dátuma,Információhoz való hozzáférés dátuma,Intézkedés leírása,Minek köszönhető a megnövekedett kitettség/érzékenység?,Signal,Értesítendő szerv,Előszűrés indoklása,HAZARDcat 1,PRODcat 1,DRIVERs 1,EREN status,HAZARDcat 2,PRODcat 2,DRIVERs 2,NÉBIH tájékoztatás,2. SZŰRÉS indoklása,Jelezni kell társintézménynek
"EFSA flags “likely” safety risk in sulfites, but more data needed",https://trello.com/c/63c5bedf9226e30079ef48ca,Kész,,,Természetben előforduló toxikus vegyület,Adalékanyag,"Health risks of high sulfite intake include safety concerns due to gaps in toxicity data, potential adverse effects on the central nervous system, and hypersensitivity or intolerance in sensitive individuals. Sulfites, found naturally in the body and in foods like apples and wine, are added to various food products as preservatives and antioxidants. EFSA couldn't establish an acceptable daily intake for sulfites and found that estimated intakes may exceed safe levels by up to 12.5% for children and up to 60% for adults. Further investigation is recommended on hypersensitivity reactions.",#riskassessment #sulfite #sulphite #dietaryintake,,true,Publikáció,EMM,Médiából,Médiamegjelenés,true,,1 (igen),3,3,4,4,16,Új bizonyíték veszély jellemzéséhez,III. FÁZIS,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,6 hónap,,,,,,2023-01-10 11:00:00+00:00,,,,,,,,,,,,,,,
MicroRNA in breast milk,https://trello.com/c/5f07134c52fe79281783a31d,Kész,Kész (már volt EREN-en),,,Genetikai anyag,"Based on aniaml studies miRNA can migrate in the body, e.g. to the brain. In addition, miRNA dysregulation has been associated with certain types of cancer.",#breast milk #miRNS #mRNS #gene expression,Kiesik 3. (megfigyelés),true,,EMM media monitoring,Médiából,Médiamegjelenés,true,Kommunikáció,3 (nem),Nincs elég információ,1,1,2,7,Új veszély,,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,1 hónap,,,,,2020-06-17T10:00:00.000Z,2020-07-01 10:00:00+00:00,Communication to EREN and on website.,We don't know much about the role of miRNA in breast milk and how it would work in infant formulas.,,,,,,,,,,,,,
Neonicotinoid thiacloprid – European Parliament forces European Commission to reconsider its position on tolerances for imported foodstuffs,https://trello.com/c/65c1f3d0e7e558545a33af7b,,,,,Növényvédő szermaradék,"Toxicity: Thiacloprid is known for its potential toxicity, which can pose health risks to consumers if residues are present in food.    Groundwater Contamination: Concerns about thiacloprid contaminating groundwater highlight potential long-term environmental and health impacts.    Unregulated Exposure: Inadequate border controls could lead to unregulated exposure to thiacloprid residues, increasing health risks.    Endocrine Disruption: Some neonicotinoids, including thiacloprid, have been associated with endocrine disruption, which can affect human hormone systems.    Consumer Safety: Ensuring zero tolerance and strict regulation is crucial to protect consumer safety and maintain fair competition for EU farmers.",#Neonikotinoid tiakloprid#peszticid,,,,EMM,Médiából,Médiamegjelenés,true,,,2,3,3,3,11,,,II. FÁZIS,,,,6 hónap,,,,,,2024-01-30 11:00:00+00:00,,,,,,1.2.3.1 Pesticide residues,2.1 Plants and Food of plant origin,2.1 Globalization of trade in food and feed,,,,,,,
"EU New Regulations Prohibit Monacolin K Health Claims for Red Yeast Rice, Monacolin K Health Claims Application Rejected",https://trello.com/c/66e943c25e8a6301a15927cb,,,,,Kémiai veszély,Prohibition of monacolin K health claims,#red yeast rice #monacolin K #maintenance of normal blood LDL-cholesterol concentrations,,,Publikáció,EMM,Médiából,Médiamegjelenés,,,3 (nem),Nincs elég információ,Nincs elég információ,4,4,11,Új bizonyíték veszély jellemzéséhez,III. FÁZIS,II. FÁZIS,,Nem igényel,Egészségügyi,,,,,,,2024-09-10 10:00:00+00:00,,,,,,1.3.2.3 Fungi,"2.6 Food supplements, dietary foods and fortified foods","6.2 Aging, more illness-prone population (in some areas)",,,,,,,
"Increased prevalence and host range observed on vector-transmitted bacteria Candidatus Arsenophonus phytopathogenicus and Candidatus Phytoplasma solani associated with the syndrome ""Basses Richesses"" in sugar beet",https://trello.com/c/67430abda80a25e5199588d2,,,,Mikrobiológiai veszély,Biológiai veszély,Sugar beet disease caused by pathogenic bacteria reducing sugar content and root yield,,,,,EREN STADG-ER,Más külföldi intézménytől/szervezettől,Publikáció,,,3 (nem),4,Nincs elég információ,4,4,15,Ismert veszély és megnövekedett kitettség,III. FÁZIS,II. FÁZIS,,Nem igényel,,,,,,,,2024-10-28 11:00:00+00:00,,,,,,1.3.2.2 Bacteria,"2.1.4 Tubers, starchy roots and sugar plants",8.4 Emerging biological threats,,,,,,,
Herbal preparations containing the ingredient Tongkat Alimay cause cancer,https://trello.com/c/6728a0f4b0acc33f2cf5b400,,,,,Kémiai veszély,Tongkat Ali root extract is genotoxic and can cause cancer,#Tongkat Ali (Eurycoma longifolia) #herbal preparation #genotoxicity,,,Publikáció,EMM,Médiából,Médiamegjelenés,,,3 (nem),3,Nincs elég információ,4,4,14,,,II. FÁZIS,,,,,,,,,,2024-11-04 11:00:00+00:00,,,,,,,2.1.11 Other plants,,,,,,,,
Call to reduce arsenic levels in food to fight cancer,https://trello.com/c/6419782fa238aed59f0f795e,To Do,,,,Környezeti eredetű szennyezőanyag,carcinogenic,#arsenic #maximumlimit #cancer #,,true,Médiamegjelenés,EMM,Médiából,Jogszabály,,,,,,,,,Új bizonyíték veszély jellemzéséhez,,Kiesik 2.,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,3 hónap,,,,,,2023-03-21 11:00:00+00:00,,,,,,,,,,,,,,,
"‘Food fraud’: Police in Spain, Italy seize 260,000 litres of adulterated olive oil",https://trello.com/c/65a640f3f7dd099334e0c4df,To Do,,,,Kémiai veszély,"Lampante oil is a term used to describe a type of olive oil that is considered inedible or unfit for human consumption in its raw state due to its poor quality and strong, unpleasant taste.",#oliveoil #adulteration #lampanteoil,Kiesik 3. (megfigyelés),,,EMM,Médiából,Médiamegjelenés,,"Kommunikáció, Lakossági",1 (igen),2,2,4,3,12,Ismert veszély és megnövekedett kitettség,Kiesik 3. (megfigyelés),II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Gazdasági és egészségügyi,,,"Economic reasons, cliamte change",true,,,2024-01-09 11:00:00+00:00,,,,,,,,,,,,,,,
Monosodium Glutamate Intake and Risk Assessment,https://trello.com/c/649a9bd9158e3e438f7261c6,To Do,,,,Adalékanyag,"The dangers to human health of excessive MSG consumption have been repeatedly brought to the attention of researchers. Recent findings have shown that excessive MSG consumption can trigger obesity, reproductive diseases and neurological symptoms.",#monosodiumglutamate,Kiesik 3. (megfigyelés),,,EMM,Médiából,Publikáció,,"Kommunikáció, Lakossági",3 (nem),1,1,3,2,10,Új bizonyíték veszély jellemzéséhez,Kiesik 3. (megfigyelés),II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,,,,,,,2023-06-23 10:00:00+00:00,,,,,,,,,,,,,,,
Cryptosporidium contamination of drinking water -  Potential for topic development,https://trello.com/c/674307803deadfdc2e9022d1,,,,Parazita,Mikrobiológiai veszély,Cryptosporidium is a parasite that causes gastrointestinal disease. It is linked to water sources and is both a foodborne and waterborne pathogen influenced by various environmental factors,#Cryptosporidium#waterborne#foodborne#disease,Több információ szükséges,,,EREN,Más külföldi intézménytől/szervezettől,Előadás,,,1 (igen),2,2,2,1,8,,,Több információ szükséges,Továbbkerül az I. FÁZIS-ba,,Egészségügyi,,,"Intensive agriculture, climate change",,It can cause outbreaks in developed countries,,2024-10-28 11:00:00+00:00,,,,,,1.3.3.1.1 Cryptosporidium,2.4.2.2 Water for human consumption (other),4.3 Increasing concentration and integration of food chain industries,More information needed,,,9.3 Increasing pressure on fresh water resources,,Additional information is need to better assess the current risk,
Potential foodborne transmission of Helicobacter pullorum,https://trello.com/c/67430aa96febe27263d7d734,,,,Baktérium,Mikrobiológiai veszély,"Helicobacter pullorum (H. pullorum) is an emerging foodborne pathogen that commonly colonizes the gastrointestinal tract of poultry, leading to gastroenteritis in poultry and humans as well",#Helicobacterpullorum# emergingfoodbornepathogen#zoonosis#poultry#poultrymeat,Több információ szükséges,,,EREN STADG-ER,Más külföldi intézménytől/szervezettől,Publikáció,,,1 (igen),2,3,3,3,12,Új veszély és szignifikáns kitettség,Több információ szükséges,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,,Egészségügyi,,,"Poultry meat consumption, industrialized farming",,Emerging new threat to public health with substantial prevalence in poultry meat,,2024-10-28 11:00:00+00:00,,,,,Emerging new threat to public health,1.3.2.2.6a Helicobacter,2.2.1.1 Poultry meat and meat products,7.1 Increasing global demand for meat,,1.2.2.2.1 Bacterial toxins,3.4 Poultry,"4.2 Industrialisation of agriculture, from small-scale and subsistence farming to large agri-businesses",,"More information is needed as data remain limited. Evidence on the prevalence of this foodborne pathogen is available from only a few countries, and conclusions have been drawn based on relatively small sample sizes.",
European Commission Calls for Immediate Measures to Eradicate Outbreak of Ovine Rinderpest in Velingrad,https://trello.com/c/676185dce1ff7c8fa648e8f9,,,,Vírus,Mikrobiológiai veszély,"Peste des petits ruminants (PPR), also known as ovine rinderpest, is a highly contagious viral disease affecting sheep and goats. Classified as a Category A disease, which necessitates immediate eradication upon detection.",#Pestedespetitsruminants#ovinerinderpest#notifiabledisease#potencialepizootic,Több információ szükséges,,Jogszabály,EMM,Médiából,Médiamegjelenés,,,1 (igen),3,2,4,3,13,Ismert veszély és megnövekedett kitettség,Több információ szükséges,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,,Gazdasági és egészségügyi,,Egyéb,Global trade,,Significant increase in number of outbreaks in the EU,,2024-12-17 11:00:00+00:00,,"Possibly lower biosecurity status of effected farms, lack of testing and poor diagnostics and official control measures",,,"Sporadic emergence of the disease in 3 EU contries (Bulgaria, Romania, Greece)",1.3.2.1 Viruses,3.1 Cattle and other domestic ruminants,4. Agro-food chain structures,,,,2. Global trade,,"Eradication programs have been initiated; however, the close proximity of the virus outbreaks to the European mainland is concerning.",
"The interplay between antimicrobial resistance, heavy metal pollution, and the role of microplastics",https://trello.com/c/67fcab7d377f5b33f7003c38,,,Mikrobiológiai veszély,Technológiai eredetű szennyezőanyag,Kémiai veszély,Environmental pollution with heavy metals and microplastics could enhance the global health challenge antimicrobial resistance.,#AMR#pollution#heavymetals#microplastics,Több információ szükséges,,,Frontiers,Szakfolyóiratból,Publikáció,,,1 (igen),3,3,4,2,13,Új bizonyíték veszély jellemzéséhez,Több információ szükséges,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,,Egészségügyi,,,"Global pollution, overpopulation and overconsumption of goods",,"AMR is a known phenomenon, however there is a novel complex mechanism that facilitates the process of AMR",,2025-04-01 10:00:00+00:00,,,,,The role of microplastics in AMR is novel finding,1.2.1.1 Metals and ions,4. Food chain,6.1 Increasing global population,,1.2.1.4 Micro- and nanoplastic,,"4.2 Industrialisation of agriculture, from small-scale and subsistence farming to large agri-businesses",,There is currently little information about the complex interplay of heavy metals and microplastics in the enhancement of AMR,
Inorganic As in rice drinks - Finnish study,https://trello.com/c/6863d40b49ffd5f2644ed972,,,,Kémiai veszély,Környezeti eredetű szennyezőanyag,"iAs is a known carcinogen, and exposure may increase due to increased consumption of plant-based beverages, especially rice-drinks.",#rice drink #plant-based #arsenic #risk assessment,Több információ szükséges,,,EREN,Más külföldi intézménytől/szervezettől,,,,3 (nem),4,1,4,3,15,Ismert veszély és megnövekedett kitettség,Több információ szükséges,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nemzetközi szinten,Egészségügyi,6 hónap,,consumer trends toward milk alternatives,,"iAs is a known carcinogen, and exposure may increase due to increased consumption of plant-based beverages, especially rice-drinks.",,2025-05-12 10:00:00+00:00,,"increased popularity of plant-based beverages, eg. rice-drink",,,"iAs is a known carcinogen, and exposure may increase due to increased consumption of plant-based beverages, especially rice-drinks.",1.2.1 Environmental contaminants,2.4.2.3 Other non-alcoholic beverages,,,,,,,the issue could be relevant in Hungary,
Rat Hepatitis E Virus (HEV) causing hepatitis in people,https://trello.com/c/683eb420ec0e8ff6e34b9b8c,,,,Vírus,Mikrobiológiai veszély,"Rocahepevirus ratti (HEV-C1) is an emerging zoonotic hepatitis E virus genotype carried primarily by rats, capable of infecting humans, especially causing severe disease in immunocompromised individuals, with suspected transmission via rodent contact, contaminated water, or food, including shellfish.",#HEV#HepatitisEvirus#rodents#mollusks,Több információ szükséges,,Egyéb,EREN,Más külföldi intézménytől/szervezettől,Publikáció,,,Nincs elég információ,3,1,3,2,,Új veszély,,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,,Egészségügyi,,,Improved technological advancement,,Although new mode of transmission (foodborne route) was identified there are significant amount of questions regarding the exact transmission mechanism and origin of the virus,,2025-05-12 10:00:00+00:00,,Improved diagnostic capabilities,,,New findings of human infection with a HEV-C1 virus,1.3.2.1 Viruses,2.2.1.5 Seafood and seafood products,Unknown,,,,,,,
Risk of capsaicin,https://trello.com/c/66dffa98c6d0115fae3396df,,,,Driver,Allergén,"Consuming capsaicin in excessive amount leads to adverse reactions, allergy",#capsaicin #eatinghabits #hotfetish #ibd #ibs #gerd,Több információ szükséges,,Publikáció,EMM,Médiából,Médiamegjelenés,,,1 (igen),1,1,4,3,10,Ismert veszély és megnövekedett kitettség,,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,,Egészségügyi,,,Megváltozó fogyasztói szokások,true,,,2024-09-03 10:00:00+00:00,,,,,https://www.researchgate.net/publication/363619340_Spicy_Food_and_Chili_Peppers_and_Multiple_Health_Outcomes_Umbrella_Review,,,,,,,,,,
An investigation finds lead in breast milk products supplied to newborns,https://trello.com/c/63db75352abda576ca2627a2,,,,Kémiai veszély,Környezeti eredetű szennyezőanyag,Dangers of online trade due to lack of control. Lead can cause nervous system problems.,#breast #milk #lead,III. FÁZIS,,,EMM,Médiából,,,,3 (nem),2,1,4,4,14,Új veszély,III. FÁZIS,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,,,,,"It seems that chemical contaminants in breast milk are not checked here, online black trade may also be relevant.",,2023-01-24 11:00:00+00:00,,,,,Dangers of online trade due to lack of control. Lead can cause nervous system problems.,,,,,,,,,"It seems that chemical contaminants in breast milk are not checked here, online black trade may also be relevant.",
Acrylamide contamination in plant-based protein ingredients: a growing concern,https://trello.com/c/64c8b4a69e78a0de1b48f18b,Kész,,,,Kémiai veszély,acrylamide contamination in commercially available plant-based protein ingredients,#plant-based protein ingredients (PBPIs) #acrylamide,,true,Publikáció,EMM,Médiából,Médiamegjelenés,true,,3 (nem),3,Nincs elég információ,4,4,14,Új veszély,III. FÁZIS,II. FÁZIS,,,,,,,,,,2023-07-18 10:00:00+00:00,,,,,,,,,,,,,,,
Watchdog warns against online-bought food supplements,https://trello.com/c/65f94a9ae7316cc72e32c80e,,,,,Kémiai veszély,Dietary supplements bought online can contain unclaimed ingredients which can cause adverse health effects,#dietary supplement #Somatomax #Ecdisten #growth hormon #adverse health effects #Arize Herbal Dietary Supplement capsules #Sustain capsule #Schwinnng capsule #Nortadalafil #Tadalafil #erectile dysfunction,III. FÁZIS,,,EMM,Médiából,Médiamegjelenés,,,3 (nem),2,Nincs elég információ,4,4,13,Új bizonyíték veszély jellemzéséhez,III. FÁZIS,II. FÁZIS,,,Egészségügyi,,,,,,,2024-03-12 11:00:00+00:00,,,,,,,,,,,,,,,
Gluten migration from biodegradable FCM: risks for celiac and allergy patients,https://trello.com/c/66714269f02046257f41a49f,,,,Allergén,Csomagolásból kioldódó anyag,"Wheat- or rye-based FCM contains gluten, an allergen not required by law to be labeled.",#FCM#Gluten#Allergy,III. FÁZIS,,Médiamegjelenés,EMM,,Publikáció,,,1 (igen),2,3,3,3,12,Új veszély,,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,,Egészségügyi,,,"Sustainabillity, pollution",,Potencial risk for allergic individuals,,2024-06-18 10:00:00+00:00,,New materials for FCM currently without proper regislation,,,Allergen risk without regislation,,,,ER (Action needed),,,,,Due to the lack of regislation and increasing demand of biobased and biodegradable FCMs,
"Risks and legal aspects of CBD in food supplements, food products",https://trello.com/c/649a9b089ffde60fa2cee8aa,,,,Kémiai veszély,Természetben előforduló toxikus vegyület,"The health risks associated with CBD (Cannabidiol) in food and food supplements include:   Liver Injury: High doses of CBD can cause liver damage.  Drug Interactions: CBD can interact with other medications, potentially leading to adverse effects.  Gastrointestinal Issues: Some individuals may experience nausea, diarrhea, or changes in appetite.  Changes in Alertness: CBD may cause drowsiness or sleepiness, affecting alertness.  Mood Changes: There can be changes in mood, such as irritability or agitation.  Reproductive Concerns: The effects of CBD on pregnancy and fertility are not well understood and may pose risks.  Psychiatric Effects: In rare cases, CBD might cause symptoms like anxiety or depression.  These risks underscore the importance of consulting healthcare providers before using CBD products, especially for individuals with preexisting conditions or those taking other medications",#CBD #cannabidiol #foodsupplement,III. FÁZIS,,,,Médiából,Publikáció,,,3 (nem),3,Nincs elég információ,4,4,14,Ismert veszély és megnövekedett kitettség,,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Gazdasági és egészségügyi,3 hónap,,"healthy lifestyle, need for natural products",,,2020-03-05T11:00:00.000Z,2023-07-05 10:00:00+00:00,,,,,,valami,valami,valami,,valami,valami,valami,,,
Chagas disease,https://trello.com/c/667a7bbb112e0c3e27464891,,,,,Parazita,"Chagas disease, caused by the parasite Trypanosoma cruzi, is a significant health concern primarily in South America. It can cause fever, headache, facial oedema and even cardiac and gastrointestinal dysfunction.",#Tcruzi#Chagasdisease#foodborne#vectorborne,III. FÁZIS,,Publikáció,EREN,Más külföldi intézménytől/szervezettől,Előadás,,,1 (igen),2,3,2,3,11,Ismert veszély és megnövekedett kitettség,,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,,Egészségügyi,,,"climate change, global supply chain",,,,2024-05-23 10:00:00+00:00,,Climate change,,,New information about the disease,,,,,,,,,,
Heavy metals in baby food,https://trello.com/c/616ebce26252e93374c21696,Kész,,,Természetben előforduló toxikus vegyület,Kémiai veszély,"Various heavy metals, such as lead, cadmium, arsenic, mercury, which can cause nervous system damage and, with the exception of mercury, are carcinogenic.",#heavymetals #lead #arsenic #cadmium #mercury,III. FÁZIS,true,Egyéb,EMM hírfigyelés,Médiából,Médiamegjelenés,true,Kommunikáció,1 (igen),3,2,4,4,14,Ismert veszély és megnövekedett kitettség,Kiesik 3. (megfigyelés),II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,,,,,Infants and small children are affected.,2021-03-16T11:00:00.000Z,2021-03-16 11:00:00+00:00,,,,,,,,,,,,,Kész,,
The Thermal Stability of Influenza Viruses in Milk,https://trello.com/c/6761450b461adddc2f9e0697,,,,,Vírus,"Highly pathogenic avian influenza viruses have been detected in raw milk from infected cows, which represents a significant public health risk.",#HPAI#Avianinfluenza#cattle#milk#epizootic,III. FÁZIS,,,EMM,Médiából,Publikáció,,,1 (igen),2,2,4,3,12,Új veszély és szignifikáns kitettség,III. FÁZIS,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,,Gazdasági és egészségügyi,,,"Globalization, climate change, overpopulation",,There is a popular trend of raw cow milk consumption in the US.,2024-10-13T10:00:00.000Z,2024-12-10 11:00:00+00:00,,Avian virus spillover to domesticated mammals,,,HPAI viruses in raw cow milk represent a new public health risk,1.3.2.1 Viruses,2.2.2 Milk and milk products,8.4 Emerging biological threats,,,3.1 Cattle and other domestic ruminants,7. Consumer attitudes,,It represents a significant to the general population if they consume raw or pasteurized cow milk,
Antibacterial nanotexture for plastic packaging inspired by insect wings,https://trello.com/c/627a194041fd7f814023effb,,,,,,no hazard associated,#nano #packaging nano#nanotechnology #insectwing,,true,,EMM,Médiából,Publikáció,,,,,,,,,Nem ER,,,Továbbkerül az I. FÁZIS-ba,,,,,,,,,2022-05-28 10:00:00+00:00,,,,,,,,,,,,,,,
"Infant antibiotics tied to eczema, asthma, food allergies",https://trello.com/c/650c3d634a07b8acbed9179c,Kész,,,,Kémiai veszély,"Infant antibiotics tied to eczema, asthma, food allergies","#antibiotics, #eczema, #asthma, #food allergies",,true,Publikáció,EMM,Médiából,Médiamegjelenés,true,,3 (nem),3,Nincs elég információ,4,4,14,Új bizonyíték veszély jellemzéséhez,III. FÁZIS,II. FÁZIS,,,,,,,,,,2023-09-15 10:00:00+00:00,,,,,,,,,,,,,,,
Pesticide exposure of farm workers,https://trello.com/c/621e2fa4b4742a7d121970b7,To Do,Folyamatban,,,Növényvédő szermaradék,"chemical contaminant causing Parkinsons disease, cancer, genotoxic",#pesticide #farmworker,III. FÁZIS,true,Publikáció,EMM,Médiából,Médiamegjelenés,,,3 (nem),4,2,4,4,17,Új bizonyíték veszély jellemzéséhez,,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Gazdasági és egészségügyi,6 hónap,,növényvédőszergyártók hasznoszerzése,true,,,2022-04-05 10:00:00+00:00,,,,,,,,,,,,,,,
Tara flour as cause of illnesses,https://trello.com/c/62fb690a90107e1fcd1e2869,,,,,Nem tudom besorolni/nem besorolható,unknown compound in tara flour causing illness,#tara #flour,Kiesik 3. (megfigyelés),true,,EMM,Médiából,,,,3 (nem),3,2,4,3,15,Új veszély,Kiesik 3. (megfigyelés),II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,6 hónap,,,,"Tara seed flour, an unknown ingredient that causes serious illnesses, is also an approved additive in Europe (E417)",2022-06-01T10:00:00.000Z,2022-08-03 10:00:00+00:00,,,,,"Tara seed flour, an unknown ingredient that causes serious illnesses, is also an approved additive in Europe (E417)",,,,,,,,,"We do not know which ingredient causes the disease, but tara flour is also an approved additive in our country (Europe).",
DEFRA approves field trial of a genetically modified wheat with lower asparagine content,https://trello.com/c/61643aec0080c12ebc2a942f,Kész,Kész (már volt EREN-en),,,GMO,Gene editing might have some unintentional consequences.,#asparagine #acrylamide #gmo #crispr #wheat,Több információ szükséges,true,,EMM hírfigyelés,Médiából,Médiamegjelenés,true,Kommunikáció,3 (nem),Nincs elég információ,Nincs elég információ,1,Nincs elég információ,4,Új veszély,,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Gazdasági és egészségügyi,1 év,,,,"This is a new genetic modification, we don't know what other effects it might have. There is not enough information available at this time to evaluate it.",2021-09-02T10:00:00.000Z,2021-10-11 10:00:00+00:00,Communication towards EREN and the public has been done.,,,,,,,,,,,,,,
Euphorics,https://trello.com/c/5f8d4f7771c0c58360ee78f2,Kész,Kész (már volt EREN-en),,Kémiai veszély,Természetben előforduló toxikus vegyület,Risks:  unsupported claims  unknown exact composition  undefined side effects.,#nootropics #smartdrugs #euphorics #gaba,,true,,,Médiából,,true,Kommunikáció,3 (nem),Nincs elég információ,1,2,4,10,Új veszély,Kiesik 3. (megfigyelés),II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,,,Fogyasztói attitűd változás: alkohol helyett alternatívák keresése,true,"Potentially there could be new hazards and increased exposure. Currently only available in the US, not yet released in the EU, will not be approved for the time being.",,2020-04-30 10:00:00+00:00,Communication towards EREN and consumers has been done.,,,,,,,,,,,,,,
EFSA raises concerns over genotoxicity in smoke flavorings,https://trello.com/c/657c11dfa5c8f409d01f1d44,,,,,Adalékanyag,genotoxicity in smoke flavorings,"#smoke flavouring, #genotoxicity",,true,Publikáció,EMM,Médiából,Médiamegjelenés,,,3 (nem),Nincs elég információ,Nincs elég információ,4,4,11,Új bizonyíték veszély jellemzéséhez,III. FÁZIS,II. FÁZIS,,,Egészségügyi,,,,,,,2023-12-08 11:00:00+00:00,,,,,,,,,,,,,,,
Bacillus cytotoxicus,https://trello.com/c/646c9b82217ec9be35e7457c,Kész,,,Mikrobiológiai veszély,Baktérium,Bacillus cytotoxicus food poisoning,"#Bacillus cytotoxicus, #diarrhea, #enterotoxin, #theromtolerant",,true,,EREN 2023/1,Más külföldi intézménytől/szervezettől,Publikáció,,,3 (nem),2,Nincs elég információ,4,4,13,Új veszély,III. FÁZIS,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,,,,,,,2023-05-03 10:00:00+00:00,,,,,,,,,,,,,,,
Q-fever possible increase in the exposure,https://trello.com/c/667149e2a8e3d3f0da6cd411,,,,Környezeti eredetű szennyezőanyag,Baktérium,"Vaccination: The Q-VAX® vaccine is a safe and effective way to prevent Q fever infection. Individuals at high risk of exposure, such as those working in occupations with increased exposure to infected animals, should consider getting vaccinated.    Personal Protective Equipment (PPE): Use appropriate PPE, such as gloves, masks, and protective clothing, when working with animals or in environments where exposure to contaminated materials is possible.    Hygiene Practices: Maintain good hygiene practices, including regular handwashing with soap and water, especially after handling animals or animal products.    Avoiding High-Risk Activities: Minimize activities that increase the risk of exposure to Coxiella burnetii, such as being present during animal births or handling contaminated materials without protection.    Environmental Controls: Implement measures to control dust and aerosolized particles that may contain the bacteria, such as proper ventilation and cleaning protocols in animal housing facilities.",#Q-VAX® vaccine#Personal Protective Equipment (PPE)#Hygiene practices#High-risk activities#Environmental controls#Coxiella burnetii#Animal exposure,,true,Publikáció,EREN,Más külföldi intézménytől/szervezettől,Előadás,true,,,3,3,4,3,13,Ismert veszély és megnövekedett kitettség,,II. FÁZIS,,,Gazdasági és egészségügyi,1 év,,,true,,,2024-05-23 10:00:00+00:00,,,,,,1.3.2.2.9  Coxiella,3.1 Cattle and other domestic ruminants,8. Climate change,,,2.2.2 Milk and milk products,4.2 Industrialisation of agriculture,,,
